----------------------------------------------------------------------------------------------------,,
Accel-Sim-build,,
CFG,render_passes_2k/NO_ARGS--all_kernels,render_passes_2k/all1--all_kernels
ORIN-SASS-concurrent-fg-VISUAL,accelsim-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0_20251117-1549,accelsim-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0_20251117-1549
RTX3070-SASS-concurrent-fg-VISUAL,accelsim-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0_20251117-1549,accelsim-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0_20251117-1549

----------------------------------------------------------------------------------------------------,,
GPGPU-Sim-build,,
CFG,render_passes_2k/NO_ARGS--all_kernels,render_passes_2k/all1--all_kernels
ORIN-SASS-concurrent-fg-VISUAL,gpgpu-sim_git-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0,gpgpu-sim_git-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0
RTX3070-SASS-concurrent-fg-VISUAL,gpgpu-sim_git-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0,gpgpu-sim_git-commit-1c17a3a8a922e56d395733e9a6dba7adc8970a30_modified_0.0

----------------------------------------------------------------------------------------------------,,
relaunch_g,,
CFG,render_passes_2k/NO_ARGS--all_kernels,render_passes_2k/all1--all_kernels
ORIN-SASS-concurrent-fg-VISUAL,0,0
RTX3070-SASS-concurrent-fg-VISUAL,0,2

----------------------------------------------------------------------------------------------------,,
relaunch_c,,
CFG,render_passes_2k/NO_ARGS--all_kernels,render_passes_2k/all1--all_kernels
ORIN-SASS-concurrent-fg-VISUAL,0,1
RTX3070-SASS-concurrent-fg-VISUAL,0,0

----------------------------------------------------------------------------------------------------,,
gpgpu_n_tot_w_icount\s*=\s*(.*),,
